,0
return_lag_3,0.038662578027378124
volume_lag_2,0.03845751520635802
volume_lag_1,0.03814972573252816
volume_lag_5,0.035056795853717404
volume_change,0.03483402910872154
bb_width,0.03479749826482465
volume_lag_3,0.033245804155832864
return_lag_5,0.03262744413570991
macd_diff,0.03176896145085222
volume_ratio,0.03132958130061626
high_low_range,0.031172198087553733
log_return,0.030539736055729662
return_lag_2,0.030272074713196043
volume_sma_10,0.029365241098005642
open_close,0.028824752629624757
bb_pct,0.027950640032009054
return_lag_1,0.02766193030741364
daily_return,0.027615292261168496
price_sma_10_ratio,0.027416690543931567
macd_signal,0.025020210203364576
price_sma_5_ratio,0.024457463651605883
rsi_14,0.02400965976603714
price_sma_20_ratio,0.02391143621466276
rsi_21,0.02332916957498157
rsi_7,0.021740888536009032
bb_low,0.021239402569368016
ema_20,0.021132215492501653
price_sma_50_ratio,0.02107480367016356
ema_50,0.020974243241727045
macd,0.020854370481658942
sma_50,0.02056594174510498
ema_10,0.018206892093378196
sma_5,0.017802989385699887
sma_10,0.017790932249088513
bb_middle,0.017505271285004106
bb_high,0.017395373458030116
sma_20,0.016756616127722303
ema_5,0.016483631288719856
