,0
return_lag_3,0.038099127042538025
volume_sma_10,0.036842010392626946
volume_lag_3,0.036458151155070194
volume_lag_2,0.03531404082218812
volume_change,0.03454569506911325
return_lag_1,0.03442650036512873
return_lag_2,0.03421667540692016
return_lag_5,0.03399102874605669
open_close,0.03238315553996179
log_return,0.03181524929203515
volume_ratio,0.031724145542568354
volume_lag_5,0.03168643787903957
price_sma_5_ratio,0.03081455126651875
volume_lag_1,0.02979356949895247
daily_return,0.028943456125710695
high_low_range,0.028745776543034653
rsi_21,0.028304108087066165
rsi_14,0.027128958062634878
bb_width,0.02690743262183306
price_sma_10_ratio,0.026554443909204514
rsi_7,0.026538539478857773
price_sma_50_ratio,0.026532005075580154
bb_pct,0.026011575508135557
macd_signal,0.025835501495736837
macd,0.025531277073989857
macd_diff,0.025105919040629313
price_sma_20_ratio,0.024634941190386284
ema_10,0.018653037507542946
bb_low,0.018626135839212403
bb_high,0.017617031472654494
sma_5,0.017581129863485482
ema_20,0.016960219874805577
sma_50,0.016465296774560233
sma_10,0.01612143989643301
ema_5,0.015850291503052883
bb_middle,0.0153287303439748
ema_50,0.013979768714043557
sma_20,0.013932645978716504
