,0
volume_lag_2,0.038187960379358545
return_lag_3,0.034637769792140775
high_low_range,0.034522125416847876
volume_lag_3,0.03434814766643766
volume_lag_1,0.03374141802882818
return_lag_5,0.033415224597737304
return_lag_2,0.03269994156763698
volume_sma_10,0.03219792230793506
volume_ratio,0.03210169782883387
bb_width,0.03180989646264754
return_lag_1,0.03103296488478353
volume_change,0.03072612575957329
volume_lag_5,0.029660332534941238
macd,0.02789235397360046
price_sma_5_ratio,0.027115635762120435
macd_signal,0.026740326013317745
macd_diff,0.026548756100560466
price_sma_10_ratio,0.026460821251765562
rsi_14,0.025732964501508557
open_close,0.024197105416873463
sma_50,0.023721745708187022
rsi_7,0.023341220345862647
bb_high,0.023180389568109017
daily_return,0.023159843550103386
bb_pct,0.022930049024324165
price_sma_50_ratio,0.022788086861169444
ema_5,0.0225610933095136
log_return,0.022482248841099443
price_sma_20_ratio,0.02248156878869205
rsi_21,0.022461273975656334
ema_50,0.020613096705319158
sma_10,0.020504785135815752
ema_20,0.020458396060330383
sma_5,0.0200994372034765
bb_low,0.01941900527231817
sma_20,0.019127975305732074
ema_10,0.01860080878395256
bb_middle,0.01829948531288981
