,0
volume_lag_3,0.04147103853610977
high_low_range,0.03656830250661457
volume_lag_2,0.03645794860496228
volume_sma_10,0.03497719411742199
volume_lag_5,0.03461915826333541
volume_lag_1,0.03424860838469598
return_lag_3,0.03279102476549603
volume_ratio,0.03247322881997792
volume_change,0.03233997986393334
macd,0.03184363364015826
macd_signal,0.03169816330933496
price_sma_10_ratio,0.03151682308401437
return_lag_1,0.031060143853909344
price_sma_5_ratio,0.030229670258949532
return_lag_5,0.029785135335951222
return_lag_2,0.029628502844643478
bb_width,0.028850578179774482
macd_diff,0.028661241309715667
price_sma_50_ratio,0.028492728563385427
rsi_21,0.0266508195406243
log_return,0.025736080552897885
open_close,0.025735502716709692
bb_pct,0.02568261756712202
daily_return,0.025173549752013757
rsi_14,0.02315801423662371
rsi_7,0.021727749279940478
price_sma_20_ratio,0.0210296809600187
sma_50,0.020263770188187563
bb_low,0.019952648143610637
sma_5,0.017765979153278395
ema_50,0.017191780633494594
ema_5,0.017100212391879026
bb_middle,0.01658351633286009
ema_10,0.016150803856191262
sma_10,0.01583002275418409
sma_20,0.01578377753352218
bb_high,0.015617045863687012
ema_20,0.015153324300770567
