,0
volume_lag_2,0.03784905746523356
return_lag_5,0.03659838263202067
return_lag_3,0.035665658822113346
return_lag_2,0.03555075664167431
volume_lag_3,0.034332219610173735
volume_ratio,0.033275907136707875
volume_lag_5,0.03274825762278202
volume_change,0.03265970914792195
return_lag_1,0.03094011774290918
high_low_range,0.030306442572522338
volume_lag_1,0.030153187432679814
macd_signal,0.02953211867729117
open_close,0.028961544384214468
bb_width,0.028780241468950654
log_return,0.028414141263535923
bb_pct,0.0283765027086239
daily_return,0.028146371504866083
price_sma_10_ratio,0.02667565323657317
volume_sma_10,0.02628002820066
rsi_21,0.02542504841497827
price_sma_20_ratio,0.025139327622021503
price_sma_5_ratio,0.02503955806155938
rsi_7,0.024062526017611312
macd,0.023723400652886053
price_sma_50_ratio,0.02362090638366381
macd_diff,0.023397984156173692
rsi_14,0.023196199037575367
ema_50,0.0229343418268251
bb_low,0.022687570831387813
bb_high,0.022400303889561903
sma_50,0.021378403775015674
ema_20,0.01805306298406502
bb_middle,0.017997000496521746
ema_5,0.017839278659453568
sma_20,0.01771396395192185
ema_10,0.017414052315611817
sma_10,0.017035024197213543
sma_5,0.01569574845449853
