,0
return_lag_3,0.04254627495035641
log_return,0.03565551576619334
volume_lag_3,0.03547464644841623
volume_lag_2,0.03363070772751481
volume_sma_10,0.03315308080096037
high_low_range,0.03311518099794839
return_lag_2,0.032700066450500706
return_lag_1,0.03204991546366359
return_lag_5,0.03204644160826237
volume_lag_1,0.03189662196030485
daily_return,0.030862783470678085
price_sma_5_ratio,0.03032107193167391
volume_ratio,0.030200419233636276
volume_lag_5,0.030122790481699177
macd_signal,0.02991857153151514
volume_change,0.02991415388973542
rsi_21,0.02977416126030251
open_close,0.028481717476754074
bb_width,0.027966908115122847
price_sma_50_ratio,0.02564953048683433
price_sma_20_ratio,0.025353684506504652
macd,0.02470420757724529
macd_diff,0.02460015812681156
rsi_14,0.02388315359183093
price_sma_10_ratio,0.023841960245839965
bb_pct,0.02313473683801099
rsi_7,0.020946028486337316
sma_50,0.0208441846161723
bb_high,0.02009366506780253
bb_low,0.019342351237179572
sma_5,0.018646988219282606
ema_50,0.018459199202619746
ema_10,0.017170431789711057
bb_middle,0.017048331747755704
ema_5,0.016965594066953204
sma_20,0.01670967904655705
ema_20,0.01670151049740206
sma_10,0.01607357508391073
