,0
volume_lag_5,0.03860516452436237
volume_change,0.037430987682353076
volume_lag_1,0.03698147681511538
return_lag_5,0.03674245430270886
return_lag_2,0.03616633324001079
return_lag_3,0.03445696605525059
volume_lag_3,0.03419900451976981
volume_lag_2,0.03352150975955526
volume_sma_10,0.03240701923478611
volume_ratio,0.031677444901640546
bb_width,0.03132097347003419
open_close,0.03055243433111587
daily_return,0.029914137552200216
return_lag_1,0.029360891343640023
log_return,0.02919860753353099
high_low_range,0.02903612847642035
price_sma_5_ratio,0.028499779956931787
bb_pct,0.028239051067279076
macd_diff,0.02756853960276039
macd_signal,0.027227195670632438
price_sma_10_ratio,0.026786404221042
rsi_14,0.025288551971565532
macd,0.024925918748567227
price_sma_50_ratio,0.024711971902252564
price_sma_20_ratio,0.024090594322353606
rsi_21,0.02328168583217455
rsi_7,0.022644780691844033
sma_50,0.01894052037775935
bb_high,0.018447121790877263
bb_low,0.018120331288919753
sma_20,0.017616261074209192
sma_5,0.017112364159897475
ema_50,0.016946039164739905
ema_10,0.016628457533501603
sma_10,0.01575120654122137
ema_20,0.015485441908527605
ema_5,0.015213493805178934
bb_middle,0.014902754625269868
