,0
volume_change,0.04138742529504571
return_lag_3,0.04098292707093039
volume_lag_2,0.03581895952144451
return_lag_5,0.035428371623606514
return_lag_2,0.03392096098551682
volume_lag_1,0.03375812679472757
volume_lag_3,0.03328667635532267
high_low_range,0.033155979636003925
return_lag_1,0.03202234285137814
volume_sma_10,0.028989325314866674
open_close,0.028675646479457396
volume_lag_5,0.028653332066860097
macd_diff,0.027925307260588582
volume_ratio,0.027810959055032423
rsi_7,0.02719556183526276
price_sma_5_ratio,0.026912601768513556
bb_width,0.026212087858527924
log_return,0.02620678875162156
macd,0.025703669001817066
daily_return,0.025449232113716927
bb_pct,0.024646981850603326
price_sma_10_ratio,0.024438342479053375
rsi_14,0.024338013779649666
macd_signal,0.024155079670097498
rsi_21,0.023713003612143263
price_sma_50_ratio,0.021257369396176867
ema_5,0.020969165150741365
bb_high,0.02079149696466355
ema_50,0.020790085023497898
sma_5,0.02058588535827198
price_sma_20_ratio,0.02030410233141746
sma_50,0.020052916300714062
ema_20,0.019625609516189725
ema_10,0.019520428383507725
sma_10,0.019453474579511118
bb_low,0.019363568538002317
sma_20,0.018436457952071394
bb_middle,0.018061737473446183
