,0
return_lag_5,0.042065395505007985
volume_lag_3,0.04095849475657439
return_lag_3,0.038998355894377945
bb_width,0.03782787999529865
volume_lag_2,0.03680394907442471
high_low_range,0.03331954431893966
volume_change,0.033000879136521714
volume_sma_10,0.03169933830865416
volume_lag_1,0.03096919988991621
return_lag_2,0.030333115673451056
return_lag_1,0.030316401568679333
volume_ratio,0.028684598525220803
open_close,0.027978582443417464
macd_diff,0.02788133519135689
rsi_7,0.027655430903228775
price_sma_20_ratio,0.027244799466499395
price_sma_10_ratio,0.02674966310924401
volume_lag_5,0.02671714293131692
log_return,0.02574602173701323
macd_signal,0.02506556347213149
bb_pct,0.024301350408467946
rsi_14,0.024181966454859972
price_sma_50_ratio,0.024163796048986053
rsi_21,0.02379607451429064
daily_return,0.023737886395051838
price_sma_5_ratio,0.0230645234069581
macd,0.022425893022337617
ema_10,0.021810767141996857
sma_50,0.01996027780151804
ema_5,0.01922454534001294
ema_50,0.019084030205451075
bb_middle,0.01890995137183011
sma_10,0.018753931207076045
ema_20,0.01847783211760033
sma_5,0.018061774511334776
bb_low,0.017063273659648607
sma_20,0.016774780489660246
bb_high,0.016191654001643845
