,0
volume_lag_3,0.03763218256497206
return_lag_5,0.03597541906271995
volume_sma_10,0.034817412546551206
volume_lag_2,0.03327007835632537
macd_diff,0.032754542066732735
return_lag_3,0.03262245301213086
bb_pct,0.032450254326737295
volume_change,0.031169775186377528
return_lag_2,0.03113174902652841
bb_width,0.030884106766403144
volume_lag_5,0.03029527552877037
volume_lag_1,0.029948091129335382
high_low_range,0.02988134507911139
volume_ratio,0.02880598445675466
return_lag_1,0.028194914923512
price_sma_10_ratio,0.028137980448702204
daily_return,0.027063136777823953
rsi_21,0.027002081322373625
price_sma_5_ratio,0.026726046124797908
log_return,0.026634279675057125
ema_50,0.026387038780727144
open_close,0.026302834280660898
price_sma_20_ratio,0.025380108259384093
rsi_7,0.024621986036567865
macd_signal,0.02382852876583244
sma_50,0.022884391371431213
bb_low,0.022021564003817922
rsi_14,0.021527017990886126
macd,0.02125985475246696
price_sma_50_ratio,0.02118925478669172
bb_middle,0.020716143126182862
bb_high,0.01964604123861093
sma_20,0.018867722799298665
sma_5,0.018757425483940666
ema_5,0.018184074938901097
ema_10,0.01800879667147689
sma_10,0.017558460417635726
ema_20,0.01746164791376978
