,0
volume_lag_5,0.04441548100802338
volume_lag_2,0.04069259754656356
return_lag_3,0.040495379896088264
volume_change,0.03447096415516715
open_close,0.0331122803573935
volume_lag_1,0.03276584746102352
volume_lag_3,0.03229175258715936
bb_width,0.032022684790350975
high_low_range,0.03128745038858181
volume_sma_10,0.03063122908619968
macd_diff,0.03048714083275349
return_lag_2,0.02997687790211954
return_lag_1,0.029634895911055382
return_lag_5,0.02944653955939569
volume_ratio,0.029396509525531685
price_sma_5_ratio,0.027855133161750856
price_sma_50_ratio,0.02729160546351178
macd_signal,0.026492119801981313
daily_return,0.02621080900637782
bb_pct,0.02567703778151121
log_return,0.025551820211328305
rsi_7,0.024730286939188464
price_sma_20_ratio,0.024283713348864915
rsi_14,0.0231820633916867
price_sma_10_ratio,0.023037852487744488
macd,0.022669833468951142
rsi_21,0.02232603473981671
sma_50,0.02050070198012696
bb_low,0.0200214167038422
bb_middle,0.01932959841481308
ema_10,0.018452487248784333
ema_20,0.017960682701008257
ema_50,0.01758301292897363
sma_10,0.01737980300242671
bb_high,0.01731941402159927
sma_20,0.01717049638993678
ema_5,0.01715568877970532
sma_5,0.016690757018662863
