,0
high_low_range,0.04251163542409816
return_lag_2,0.03655551530605654
return_lag_5,0.035406639970246824
volume_lag_1,0.03471472143375055
volume_ratio,0.034421743214149265
volume_lag_2,0.03432456528512664
volume_lag_5,0.0337777268418564
volume_lag_3,0.03310534801048744
return_lag_1,0.031932878259456066
macd_diff,0.029625209753172444
return_lag_3,0.029623189800465636
bb_width,0.029573457338569774
volume_change,0.029276416234126267
price_sma_10_ratio,0.028894412653041945
volume_sma_10,0.02823514731957528
open_close,0.027095867083986803
price_sma_5_ratio,0.02704464946436383
macd_signal,0.026183246910717425
rsi_14,0.025876980120679346
macd,0.025428398807528296
rsi_7,0.025319311421123897
bb_pct,0.025043402294684606
daily_return,0.024479042639412828
log_return,0.024306968900505144
price_sma_50_ratio,0.02428415647397201
price_sma_20_ratio,0.023713744986389278
rsi_21,0.023528817956902627
bb_low,0.02150581279255118
sma_50,0.02142691426092388
ema_50,0.021027085334798124
bb_high,0.019774873952170865
sma_10,0.018432082291522645
sma_5,0.01805558022877496
ema_5,0.017673108349098937
sma_20,0.01757582299733196
ema_20,0.017486950666076667
ema_10,0.01660819905509455
bb_middle,0.01615037616721089
