,0
volume_ratio,0.03662971895164055
high_low_range,0.03489129008358747
volume_lag_2,0.03373099856447636
return_lag_5,0.03358153478143781
volume_lag_1,0.03287118646010894
volume_lag_3,0.032309614869493325
volume_change,0.03133083204017302
return_lag_1,0.03120380686784932
volume_lag_5,0.030339736103294837
open_close,0.03027288551174093
return_lag_3,0.03015650338744965
volume_sma_10,0.029401421024074018
return_lag_2,0.02914634598633944
price_sma_10_ratio,0.02873378049188245
log_return,0.028223600570166943
price_sma_5_ratio,0.028011310965053465
daily_return,0.027088422430271444
bb_width,0.02668916292336054
ema_50,0.026195858174475704
rsi_7,0.026104339932028348
macd_signal,0.025290411710648292
macd,0.024699267757884447
bb_pct,0.02461161591576904
ema_10,0.023917610766859533
bb_low,0.02384399594839824
macd_diff,0.02379567056183182
price_sma_20_ratio,0.022822785879170464
price_sma_50_ratio,0.02269518726832699
sma_50,0.021843976908456207
rsi_21,0.021183993596436027
bb_high,0.020580842440367175
sma_10,0.020575091035514536
ema_5,0.020277713980102495
sma_5,0.020191413642321184
rsi_14,0.01997942709115007
sma_20,0.019308738944906742
bb_middle,0.019290794629690952
ema_20,0.018179111803261094
