Date,Close,High,Low,Open,Volume
2021-06-30,2916.019775390625,2947.6138026962844,2909.700969929493,2916.2376652341122,1693146
2021-07-01,2912.31591796875,2930.1828867906443,2904.3412340712302,2926.696648971738,990310
2021-07-02,2898.3271484375,2910.7468698200696,2871.962476730642,2903.164345637849,1682274
2021-07-05,2894.448974609375,2940.6416261162394,2877.8893448238955,2912.751723319642,1972858
2021-07-06,2843.288330078125,2900.5497412474615,2837.884704246596,2887.4763499858295,2159420
2021-07-07,2854.31396484375,2861.068551496173,2825.2475809189878,2854.357585378772,2640710
2021-07-08,2839.976318359375,2874.4029148225313,2816.7927530962797,2874.4029148225313,2485811
2021-07-09,2796.09375,2860.4585093719593,2789.862184186363,2832.568603125798,6365067
2021-07-12,2782.976806640625,2820.366625180118,2778.836898893528,2819.4950656544133,1892226
2021-07-13,2778.14013671875,2801.192847998327,2767.202020035684,2801.192847998327,1809339
2021-07-14,2801.67138671875,2808.1644618657065,2775.9167632036856,2777.6598820502813,2044279
2021-07-15,2797.6533203125,2822.8964842713835,2789.835882951835,2819.184273093379,2232968
2021-07-16,2790.534423828125,2812.4146737671153,2788.0886893458846,2806.4313780915813,1256526
2021-07-19,2781.625732421875,2794.9023053084866,2774.1138778064173,2777.607724000128,1597058
2021-07-20,2800.142822265625,2808.178625137528,2756.775332345759,2781.6254817571275,1811945
2021-07-22,2809.358154296875,2816.8697957122436,2786.342357051715,2786.342357051715,2859334
2021-07-23,2806.300537109375,2831.368836575758,2800.8849058453,2821.280314782086,1776193
2021-07-26,2792.937255859375,2816.2586385488767,2787.08510563354,2795.077194186681,1259611
2021-07-27,2780.1845703125,2803.8117493545283,2761.143064692313,2795.0771333129255,1121367
2021-07-28,2793.15478515625,2798.963217912724,2736.03028415135,2784.594821161918,1660654
2021-07-29,2791.408447265625,2817.3064967675937,2786.604408769665,2795.2953084901396,1731997
2021-07-30,2766.645751953125,2815.603314622655,2762.191225983625,2811.6727376362114,2999943
2021-08-02,2812.02197265625,2816.826011085384,2766.25267364857,2777.6076735719776,2608669
2021-08-03,2869.23388671875,2873.688626119012,2811.6291376075883,2820.4074692213644,3804735
2021-08-04,2859.669677734375,2886.9653538326647,2848.5330418862727,2882.4233959794033,2929598
2021-08-05,2868.4033203125,2895.5243375261384,2849.667617248575,2860.585883981328,2534521
2021-08-06,2890.982421875,2903.385530408372,2851.851310704974,2858.445986553787,2292362
2021-08-09,2902.250732421875,2914.7412755930864,2891.1578130695584,2903.2988436623186,1510489
2021-08-10,2912.03369140625,2926.009077718762,2896.049513909292,2896.049513909292,2040777
2021-08-11,2921.0302734375,2934.8310095246384,2906.0942078553617,2926.0963934248625,1929707
2021-08-12,2927.625244140625,2941.818996722794,2905.1336054334956,2905.1336054334956,1310205
2021-08-13,3025.146728515625,3039.646275935448,2932.647233176226,2935.4859832902466,4363584
2021-08-16,3033.48779296875,3052.1799952868946,3001.650166890413,3022.176510240311,2083489
2021-08-17,3103.4521484375,3110.2214744587654,3024.7969047280226,3041.480103189076,4336019
2021-08-18,3110.00341796875,3140.0941242989843,3089.084057481392,3121.6204986858806,2631309
2021-08-20,3109.086669921875,3122.6253251778908,3057.1157029713618,3062.3564727478843,2836148
2021-08-23,3177.12841796875,3208.223729175322,3111.1820821253696,3126.9918187987078,3744176
2021-08-24,3155.990966796875,3203.289033736123,3139.5698483758865,3194.2486221480526,2511141
2021-08-25,3195.995849609375,3229.8424850759952,3150.6195641945837,3153.1962331483587,2123263
2021-08-26,3207.2197265625,3220.976745326856,3186.3001528276395,3196.869122383676,1902533
2021-08-27,3249.408203125,3257.5751546785104,3189.0958480679137,3202.110341078273,3944728
2021-08-30,3232.943603515625,3267.0523231304614,3220.977221724013,3244.909985307237,2033114
2021-08-31,3307.318115234375,3322.7348380108765,3234.820813776714,3240.017866834133,3207480
2021-09-01,3244.86572265625,3333.740429346746,3237.9217464537523,3315.6598191363482,2643336
2021-09-02,3351.25341796875,3370.818870315569,3251.023710609158,3261.5052486336904,3403717
