Date,daily_return,log_return,high_low_range,open_close,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,price_sma_5_ratio,price_sma_10_ratio,price_sma_20_ratio,price_sma_50_ratio,rsi_7,rsi_14,rsi_21,macd,macd_signal,macd_diff,bb_high,bb_low,bb_middle,bb_width,bb_pct,volume_change,volume_sma_10,volume_ratio,return_lag_1,volume_lag_1,return_lag_2,volume_lag_2,return_lag_3,volume_lag_3,return_lag_5,volume_lag_5,target
2021-09-09,-0.010530325168558674,-0.010586161370800422,0.019146610744227452,-0.008625707198769456,2006.48837890625,1995.3629400503144,1943.810888671875,1956.189844986418,1885.3283813476562,1900.4496222649855,1784.0902368164063,1819.708995655382,1.0007280579639073,1.032996177998544,1.0650395117452658,1.1254751454349392,77.1319598113634,75.61130897891972,73.7410668772608,65.90525394032102,51.665422328948075,14.239831611372942,2044.6068907463555,1726.049871948957,1885.3283813476562,0.16896633071936784,0.8849258693632186,-0.17998702330408767,1137277.6,0.5745272746073605,0.010841130724121628,0.030684615394565462,0.006557295577360067,0.13834992556686254,0.0006685517097431148,-0.5615056715461937,0.014282699866322579,-0.06435220517030182,0
2021-09-13,-0.001794199324948731,-0.0017958108284183258,0.010981669164900657,-0.0031173174206860113,2008.7289794921876,1998.3574792392724,1964.3513305664062,1964.9456109192852,1895.5467834472656,1910.3445684890048,1790.0578491210938,1826.9496843597667,0.9978183110216751,1.0203605263622821,1.057397567351019,1.1197104934912065,75.07500943365363,74.58780338085454,73.01361865713415,65.93338069374863,54.51901400190819,11.414366691840442,2057.8062236383503,1733.287343256181,1895.5467834472656,0.17120067054847105,0.8352648512832103,0.20364648138880348,1113864.6,0.7060633761051388,-0.010530325168558674,-0.17998702330408767,0.010841130724121628,0.030684615394565462,0.006557295577360067,0.13834992556686254,0.026536634840224727,0.32697143571944487,1
2021-09-14,0.012335922534564947,0.012260455049029,0.01432599692143146,0.008239701092082968,2015.6481689453126,2008.59565998764,1981.8467407226562,1976.6049582947558,1906.2957275390625,1921.6519449647542,1796.366357421875,1834.8760505215162,1.0066598192809049,1.0238289267234149,1.0644056911903228,1.1295424305298596,79.46074097243691,76.89901484957325,74.80472782211979,67.17644144217843,57.05049948996224,10.125941952216188,2073.9406658930784,1738.6507891850463,1906.2957275390625,0.17588555220698915,0.8661795433574194,0.13008434006095682,1035710.2,0.8581213161751231,-0.001794199324948731,0.20364648138880348,-0.010530325168558674,-0.17998702330408767,0.010841130724121628,0.030684615394565462,0.0006685517097431148,-0.5615056715461937,1
2021-09-15,0.03120605639773122,0.030729045780879958,0.03443639721540224,0.029053445464198968,2032.6155517578125,2036.5275591323852,2001.4149780273438,1997.6570308633227,1920.245184326172,1937.912841389242,1803.6566796875,1844.9746900078046,1.0294083185639156,1.0454560300553963,1.0896480170870004,1.1600829475953267,86.53789564468357,81.53142880964694,78.62030401993782,72.43592106126539,60.12758380422287,12.308337257042517,2100.5974839600467,1739.892884692297,1920.245184326172,0.18784299120339862,0.9772497313457311,2.14593283938949,1133702.6,2.4662508492086017,0.012335922534564947,0.13008434006095682,-0.001794199324948731,0.20364648138880348,-0.010530325168558674,-0.17998702330408767,0.006557295577360067,0.13834992556686254,0
2021-09-16,-0.0052599430483983856,-0.005273825249958757,0.017973112923290995,-0.011369230668856973,2043.0289306640625,2051.4802054372153,2018.12568359375,2012.8803885330594,1931.8059692382812,1951.576903928064,1810.8223999023437,1854.2457020877682,1.018774363302993,1.031345824973832,1.077429892644743,1.1494144860142677,80.88615159407462,78.58177539907656,76.50578185742523,74.8531551025867,63.072698063895636,11.780457038691061,2122.078072369889,1741.5338661066735,1931.8059692382812,0.19698883444969664,0.8930674185724754,-0.7406565462384589,1081471.7,0.6704965095249372,0.03120605639773122,2.14593283938949,0.012335922534564947,0.13008434006095682,-0.001794199324948731,0.20364648138880348,0.010841130724121628,0.030684615394565462,0
2021-09-17,-0.006212175328769276,-0.006231551175711584,0.03340331968789725,-0.008680363272296335,2055.1302001953127,2057.1386590935604,2030.8092895507812,2022.9849663281848,1942.43154296875,1962.7082051164628,1817.4754736328125,1862.6460889237871,1.0064839523109879,1.0185375736900417,1.0648795186083568,1.138092698589089,74.24052059477083,75.14233661760623,74.0490454849938,74.86252449009544,65.4306633491356,9.431861140959839,2138.226025917492,1746.6370600200078,1942.43154296875,0.20159730586900998,0.8218273097881227,1.382230325062093,1137497.0,1.5186062029174583,-0.0052599430483983856,-0.7406565462384589,0.03120605639773122,2.14593283938949,0.012335922534564947,0.13008434006095682,-0.010530325168558674,-0.17998702330408767,0
2021-09-20,-0.008708754573972799,-0.008746897389497939,0.012251161323548058,-0.005100527942409019,2064.349267578125,2054.906404239457,2036.5391235351562,2027.9771350923784,1952.329168701172,1971.0637945845378,1824.4683813476563,1870.0106303201583,0.9932630716781803,1.0068266653144184,1.050254192480948,1.123857182450417,65.49433665695584,70.51193078663914,70.7267130145527,72.57974292629069,66.86047926456662,5.719263661724071,2148.9479781814052,1755.7103592209387,1952.329168701172,0.20141973252495948,0.7494998471647791,-0.7616443114257762,1023792.4,0.40216942419185764,-0.006212175328769276,1.382230325062093,-0.0052599430483983856,-0.7406565462384589,0.03120605639773122,2.14593283938949,-0.001794199324948731,0.20364648138880348,1
2021-09-21,0.004091629448206291,0.004083281495840038,0.016971450816876427,0.005228962725903555,2070.301171875,2056.214783815888,2042.9746704101562,2033.5870274335368,1962.9646057128907,1979.4226277639866,1831.6468090820313,1877.4153719926521,0.9944599225165572,1.0077616589124965,1.0488378328253367,1.1240330465241697,67.57025127003853,71.39600209516232,71.35520558688428,70.63337897899305,67.6150592074519,3.018319771541144,2158.4616616248786,1767.467549800903,1962.9646057128907,0.19918551291554137,0.74518767509987,0.3109987419184044,1009857.9,0.5345187674424292,-0.008708754573972799,-0.7616443114257762,-0.006212175328769276,1.382230325062093,-0.0052599430483983856,-0.7406565462384589,0.012335922534564947,0.13008434006095682,0
2021-09-22,-0.0023012047707012817,-0.0023038566114665,0.01804379901832245,-0.007511445838053264,2062.641650390625,2055.5077725439255,2047.6286010742188,2037.315522445621,1973.4001586914062,1986.5341632150355,1838.8437182617188,1884.3439358360777,0.9958558480630865,1.003157383581373,1.0408906378937879,1.11705727332922,64.99409552147102,70.11754932715151,70.45822718403292,67.9255675700249,67.67716087996651,0.24840669005838834,2164.918561550641,1781.8817558321716,1973.4001586914062,0.19409991634563722,0.7106679830864696,0.9590654108650063,1038296.8,1.0184756420322205,0.004091629448206291,0.3109987419184044,-0.008708754573972799,-0.7616443114257762,-0.006212175328769276,1.382230325062093,0.03120605639773122,2.14593283938949,1
2021-09-23,0.0115326814973149,0.011466687036792888,0.017647990062959012,0.007200980300538334,2061.921142578125,2062.9328346907423,2052.4750366210938,2044.6732381799397,1987.3372680664063,1995.2245247168773,1846.5291821289063,1891.929779881109,1.0076927366807138,1.012330441009867,1.0455109922061536,1.1252370009061274,71.36300763025868,72.74545015136879,72.28717337606601,66.91971983160943,67.5256726702951,-0.605952838685667,2166.226175438516,1808.448360694297,1987.3372680664063,0.18002873517906767,0.7527984888683769,-0.32704732004387793,1029778.9,0.6910551381466449,-0.0023012047707012817,0.9590654108650063,0.004091629448206291,0.3109987419184044,-0.008708754573972799,-0.7616443114257762,-0.0052599430483983856,-0.7406565462384589,0
