Date,Close,High,Low,Open,Volume
2021-06-30,159.60400390625,160.94256054359553,159.4858933987964,160.8638285235203,16556397
2021-07-01,159.8402099609375,160.4701284984582,159.17093789133125,159.76147794208526,10583793
2021-07-02,159.36776733398438,160.39137083642413,159.24965683806064,160.07641783218722,13187847
2021-07-05,160.3520050048828,160.7063364930399,159.6039884996705,159.84019701443572,10642939
2021-07-06,159.44651794433594,160.47012148606845,159.24966295112662,160.03705796928392,11515716
2021-07-07,160.4307403564453,161.57245429101948,159.28902642187114,159.44650291519116,18568033
2021-07-08,159.05282592773438,161.02130106376384,158.89534941413285,160.23390601841587,21730892
2021-07-09,158.541015625,159.32841065904657,158.18669659381723,159.05282364486428,12289809
2021-07-12,158.3441925048828,159.4859067099906,158.22608198757135,159.0528431314098,13589278
2021-07-13,158.93472290039062,159.21030993149353,158.54102535919486,159.05283341048343,11247522
2021-07-14,160.7063446044922,161.533105641249,158.81660152695088,158.93471202896475,21269167
2021-07-15,162.3992156982422,164.17083561110678,159.76145635365975,160.94253629556948,29963443
2021-07-16,163.69842529296875,165.07636037139565,163.147251261598,163.5409487807686,30137464
2021-07-19,163.580322265625,164.95825740702793,162.47797415250267,162.83230567915237,17099088
2021-07-20,162.832275390625,164.80075023294603,162.5173224104149,163.93462329869894,24567907
2021-07-22,162.98976135253906,163.9739988308965,162.08426836247955,162.98976135253906,19016769
2021-07-23,167.24168395996094,168.18655554411333,162.59608301411097,162.98978054728622,46241640
2021-07-26,166.25743103027344,169.56447503109806,165.9818440302047,168.5014930373074,49084040
2021-07-27,164.28897094726562,167.71412575602244,163.73779689705972,166.9267306907738,25378089
2021-07-28,164.64329528808594,165.3519458249621,163.34409223936285,164.01337676789592,15304399
2021-07-29,162.24176025390625,165.50942599750084,161.92679474817265,164.64329893074955,16204679
2021-07-30,161.37562561035156,163.06852626338937,161.1000510601445,162.28113119115508,15515733
2021-08-02,163.2260284423828,163.38350498611766,161.7693485774855,162.55674377350257,10046707
2021-08-03,165.27320861816406,166.06060368378436,162.5567168532533,163.3834779289524,19179805
2021-08-04,164.24961853027344,166.2180938789626,163.85592096506727,166.06061734834847,11421835
2021-08-05,169.48573303222656,170.66682554017152,162.91102341775309,164.2495924312894,48995450
2021-08-06,168.69834899902344,170.07627152998805,167.39914600414244,169.6038420174293,24489836
2021-08-09,168.3440399169922,170.98179978727154,167.4779127899969,169.2889115452331,21142199
2021-08-10,165.2338104248047,168.85580705744144,164.21020702074242,168.50147560372469,18855165
2021-08-11,164.28897094726562,165.82438259036198,163.34409936443538,165.23384253009587,16012451
2021-08-12,164.48580932617188,168.65896781361658,164.052745827261,165.54877883173876,28758718
2021-08-13,166.49365234375,167.1629368419656,164.7220198431415,165.2338278377781,19576945
2021-08-16,166.06060791015625,167.91097263638235,165.74565486682863,166.45430545298632,11621038
2021-08-17,164.72203063964844,166.5330292655165,164.40707761184717,165.981855228194,8161139
2021-08-18,164.5251922607422,166.53303346022534,164.0527627071405,165.03700030181625,11149120
2021-08-20,164.48580932617188,165.90311031848736,162.7535428531889,162.98976384435466,20168965
2021-08-23,162.4385986328125,165.50942177464665,162.20237762887444,164.9582477503513,10319044
2021-08-24,162.0055389404297,162.98977651031956,161.1787778844413,162.98977651031956,12971124
2021-08-25,162.517333984375,163.6984139829449,162.20236850439548,162.517333984375,10994627
2021-08-26,161.10003662109375,162.8716566588231,160.90318163200843,162.51733764221314,15407558
2021-08-27,162.12364196777344,162.871658493641,161.33624695724134,161.41499144923048,10879860
2021-08-30,163.77716064453125,163.93463714793995,162.2023706557649,162.2023706557649,12550267
2021-08-31,166.37554931640625,166.6117703210501,163.18661566307497,163.81653418301187,26802390
2021-09-01,164.95826721191406,167.1629635692028,164.80079068315655,166.13934741626636,16867486
2021-09-02,165.15509033203125,166.53302539329775,164.56455029929995,164.56455029929995,14872714
2021-09-03,165.82437133789062,166.33617934330618,165.1550868255795,165.1550868255795,10622796
2021-09-06,164.80076599121094,166.29681150626882,164.60392347909217,166.13932252376608,11041632
2021-09-07,166.72987365722656,168.77708068501587,165.47004914884096,166.06058915772866,38933378
2021-09-08,166.33619689941406,167.7141320768607,165.11573824548404,167.12357951699698,17897021
2021-09-09,167.43853759765625,168.42277518388516,165.78501545822996,166.17871298818963,19784972
2021-09-13,168.61962890625,169.40702401845107,166.76926411765314,167.98972279836235,16661794
2021-09-14,170.15501403808594,171.06051952328042,168.65896854973911,169.2101425466385,20377545
2021-09-15,170.07627868652344,171.0211502287393,169.5251171373494,170.94241821200308,21028598
2021-09-16,181.69027709960938,183.97371757815284,170.31249062252212,170.82429861341524,154986538
2021-09-17,182.0052490234375,186.8476921958144,180.39109298108522,183.4619160804491,82563658
2021-09-20,184.05245971679688,188.46185193671064,181.29658957935078,181.88714209261795,73101936
2021-09-21,190.15472412109375,190.90274060554,182.4383008590669,184.9973157855812,58854434
2021-09-22,191.72952270507812,193.54052134670755,189.52482653660044,191.72952270507812,54648494
2021-09-23,190.9420928955078,193.38300963125928,190.31218694908054,192.91056769410054,22630330
2021-09-24,187.7532196044922,192.1232337623867,187.1626670339593,192.1232337623867,25779310
2021-09-27,187.95004272460938,190.43032583256678,185.4303936084641,188.81616976878303,23772123
2021-09-28,187.2020263671875,190.23347102478863,186.06029983255104,188.85553596345167,16319138
2021-09-29,187.47763061523438,190.07601198920358,185.5878873638556,185.82410838961326,16045073
2021-09-30,185.94219970703125,189.2885973473177,185.23354918025598,188.89491231481816,16987893
2021-10-01,185.31228637695312,186.61147696614174,183.38317725894132,185.19417587296502,16570661
2021-10-04,186.2965087890625,187.67444376129035,185.35163731134347,185.82407928887267,11098123
2021-10-05,184.80047607421875,186.9658061735164,184.64299956328915,186.13904513313076,9578825
2021-10-06,182.083984375,186.13904508167212,181.57217635661507,184.8792205172433,18179336
2021-10-07,183.4225311279297,184.99730852262542,182.9107231717846,183.46189713152893,10770973
2021-10-08,182.43832397460938,184.87922871762098,182.0446264412615,184.8398627074884,10114327
2021-10-11,187.43824768066406,188.5799618158465,182.4383275878769,182.67453613069122,22000303
2021-10-12,189.9972381591797,191.33580712872276,187.39885718631047,187.87128668755778,30347455
2021-10-13,196.21762084960938,197.55617728927598,189.09173774077885,190.98148062627615,52091422
2021-10-14,202.0049285888672,206.1780992234777,197.12310751416604,199.40654780098112,88696178
2021-10-18,206.72930908203125,208.8946267813726,202.63488221951442,205.50885048203483,62614961
2021-10-19,193.65863037109375,206.72930581202263,192.94997981912402,205.82380025946435,61336411
2021-10-20,194.17041015625,195.66645563441728,190.82400019137077,193.65861464642552,49663940
2021-10-21,192.6743621826172,195.54832994298033,191.41453779294082,195.2727429678218,23385990
2021-10-22,186.2965087890625,193.54050265600935,184.01308082213595,192.67437566699164,36905793
2021-10-25,183.77687072753906,186.33588584060786,181.49344262525247,184.32804474910344,23194065
2021-10-26,186.37525939941406,188.18625792563452,183.14695984873234,184.32803987667015,19663381
2021-10-27,187.7532196044922,189.99726946315127,185.9815868475765,189.17052081908815,26909428
2021-10-28,177.2415313720703,185.78471584012243,176.4935023898005,185.11543134763772,48064941
2021-10-29,175.7454833984375,179.7217993361874,175.03683290975596,177.1627843758006,27668175
2021-11-01,178.61947631835938,179.17065038405704,175.1943338906735,176.4935245552432,24090945
2021-11-02,177.63525390625,180.5092349916385,176.7691267223824,179.52499728681764,14896284
2021-11-03,175.15496826171875,178.61947670813132,174.56441570622468,177.95020460747324,18530527
2021-11-04,178.3832550048828,178.97379503947474,176.375401418994,177.04468594762358,7295341
2021-11-08,180.94227600097656,181.65092656091036,177.71397623298014,180.86353150438808,21051238
2021-11-09,180.11550903320312,181.8083971196507,179.4068584964888,180.98163608059394,11964518
2021-11-10,181.76904296875,183.34382065558341,178.89506214873856,179.09191715793088,13948380
2021-11-11,181.09974670410156,182.28083925097576,179.95803264292795,181.41469972566526,8448263
2021-11-12,183.38316345214844,184.20992444047866,180.43045098411454,182.04460695485625,12312123
2021-11-15,187.47763061523438,188.1862812151661,183.54066758775213,184.209952175838,40247848
2021-11-16,185.39102172851562,188.6980532903774,185.036690234027,188.22562377506563,15241184
2021-11-17,188.57994079589844,193.10744329840165,185.5484962693945,185.8240832697439,48496295
2021-11-18,187.0051727294922,191.33582046342798,186.06030118380758,188.9736478378866,21005037
2021-11-22,181.8083953857422,189.56418520729864,180.74542582947836,187.3201231162149,23443628
2021-11-23,182.35955810546875,183.22568509092432,180.43044915228364,180.43044915228364,13950744
2021-11-24,179.2887725830078,183.2257233218805,178.69823246764528,183.02888077587363,14684422
2021-11-25,182.12335205078125,182.8320025949266,177.75333828232814,178.73757584238228,24825493
2021-11-26,176.37538146972656,181.1390921706827,175.66673101290144,180.23359921703792,28067913
2021-11-29,174.4069366455078,176.09982483282278,173.3833330264511,174.80063418432684,22985358
2021-11-30,174.13133239746094,177.3202659260209,173.2258393773218,174.80061689953843,24408641
2021-12-01,174.7218780517578,175.82421354005405,173.69826209661676,174.80061006225222,13496307
2021-12-02,177.51712036132812,178.06828188664724,174.24944235203955,174.7218843413698,16517389
2021-12-03,174.52503967285156,178.10767090197103,174.28883114155934,177.162799344781,14325920
2021-12-06,171.57232666015625,174.95810288343574,171.2573736341164,174.52503935329582,13644352
2021-12-07,173.73765563964844,174.76125920618134,171.729802037902,172.35972056315785,9246755
2021-12-08,177.12342834472656,177.6746023644445,174.0132392205126,174.0132392205126,10241656
2021-12-09,185.35165405273438,186.17841511074607,175.58802282556195,175.58802282556195,39714672
2021-12-10,185.90283203125,188.14689424274292,184.0524673524883,185.98157652873255,36517117
2021-12-13,184.72174072265625,187.98940633947024,184.3674092214562,187.3988663148101,22903720
2021-12-14,179.99737548828125,186.69019496061404,179.17061455506328,185.03667309417813,38953007
2021-12-15,176.41477966308594,182.83200049545155,175.90297164589242,181.09974640239682,35987634
2021-12-16,175.50927734375,178.06829252188194,173.85575523701598,177.95019449483559,25131188
2021-12-17,171.6116943359375,175.46991261309196,170.66683524864052,175.4305466037897,30827201
2021-12-20,167.24168395996094,170.2731412403354,165.19447675119494,170.2731412403354,38778895
2021-12-21,167.32040405273438,169.64319794819397,166.17869010719133,168.50148400265093,20142586
2021-12-22,166.92674255371094,168.65899684755473,166.21809193556197,168.5015203187818,17903428
2021-12-23,171.09988403320312,172.0053770331392,167.87158456988493,168.4227585619641,23065082
2021-12-24,171.6510772705078,173.5801739817325,170.43061865444832,171.6510772705078,17220191
2021-12-27,171.29672241210938,172.00537288808533,169.80068945023746,171.96600688312532,8467106
2021-12-28,173.2652130126953,173.69827653843848,171.65106941262357,171.65106941262357,12014352
2021-12-29,170.6668243408203,173.46206036943826,170.31249284772494,173.22583937404133,11923119
2021-12-30,170.07627868652344,171.5723242552535,169.68259364816203,170.54872069630147,10116360
2021-12-31,171.6904296875,172.28096970494306,170.1943841629497,170.7849366577326,7875890
2022-01-03,172.5172119140625,173.10775200411322,170.90305569209312,171.69045079705498,8064567
2022-01-04,173.42269897460938,174.5644131026343,172.4778398545935,172.8321589052642,9398805
2022-01-05,173.65890502929688,174.40692155418895,172.1628595021728,172.95025451167805,11663111
2022-01-06,172.20225524902344,173.54081192655678,171.808557704805,172.43846379368162,9295303
2022-01-07,171.96600341796875,173.73763581087934,171.25735295627229,173.06835135334967,9196075
2022-01-10,175.82423400878906,176.92658210275536,172.35972568757003,173.14710827087404,16451394
2022-01-11,174.76124572753906,176.57224419163154,174.17070573382918,175.8635937037118,8329596
2022-01-12,175.3911590576172,176.09980957515606,174.48566602639414,175.194316543933,13665682
2022-01-13,176.33604431152344,177.7927239446976,175.39117272207815,176.29667830118763,11944029
2022-01-14,175.2730712890625,177.00532543830553,175.03685027695096,176.33604088888322,10976796
2022-01-17,176.84783935546875,177.63522189101,174.28882427961491,175.2730618070464,12792728
2022-01-18,173.81639099121094,178.97379988614793,173.4620719517968,176.84784821764137,14948456
2022-01-19,173.50144958496094,175.11559332985286,172.2022588911687,173.81640263606062,11915686
2022-01-20,172.24160766601562,174.9187332871304,171.65106763496712,173.65890873146816,17997322
2022-01-21,170.9030303955078,173.61953437139798,170.0762694008751,172.04475687190978,17225050
2022-01-24,166.76922607421875,171.45419223425753,166.0605756258319,170.903018276919,18023332
2022-01-25,168.73773193359375,169.05268497356252,164.99762403260675,166.92673323776202,19028606
2022-01-27,168.97393798828125,169.68258850412488,166.2180679392561,166.33617843812,24041247
2022-01-28,171.3361053466797,172.63530841212494,169.36763022142728,169.36763022142728,15865353
2022-01-31,173.38331604003906,173.81637954711036,170.94241150224272,172.04475951200226,15618203
2022-02-01,179.328125,180.1548860897589,172.5565722389359,174.0132518873715,44871108
2022-02-02,182.79266357421875,183.6981692504706,180.31238006484358,181.0997752200763,42714702
2022-02-03,184.6036376953125,185.19417774387864,182.51705204335036,182.7926390629933,28918394
2022-02-04,184.48553466796875,187.7925790377299,182.32021690967824,186.80834142444493,58889867
2022-02-07,181.25723266601562,184.8398640244644,179.9186760159046,184.2493239589054,25101983
