Date,Close,High,Low,Open,Volume
2021-06-30,1410.162109375,1431.6356815471493,1405.4162580030468,1424.6814089820252,2139362
2021-07-01,1402.4090576171875,1412.4644807549691,1390.9909086317125,1406.9198533960534,2060651
2021-07-02,1396.1595458984375,1410.2559971785674,1386.6209242554403,1409.6451280129857,1814564
2021-07-05,1417.1163330078125,1422.8019481060905,1398.3680969497113,1400.2476239617404,1605396
2021-07-06,1414.8138427734375,1427.5006490686492,1409.6451439124253,1415.283724488075,1072506
2021-07-07,1425.104248046875,1428.1584792811952,1404.9463677872498,1404.9463677872498,1096808
2021-07-08,1410.3028564453125,1432.1993890546191,1406.8257778312106,1412.4643581030791,1456033
2021-07-09,1409.2691650390625,1412.323396074634,1396.018524105102,1407.6716131534943,1248405
2021-07-12,1410.3499755859375,1424.6813679748666,1401.7511172091367,1413.7801350683703,865284
2021-07-13,1422.426025390625,1423.7417172476983,1410.913922396378,1423.7417172476983,995833
2021-07-14,1451.652587890625,1456.5394267705742,1417.1633143888716,1422.3790475402548,4010254
2021-07-15,1512.408447265625,1527.1157697764565,1456.586469414658,1456.6335034790818,9066480
2021-07-16,1521.2420654296875,1525.0481532408926,1499.0166371751016,1512.4082661680734,4157388
2021-07-19,1512.643310546875,1540.6483088057898,1501.3661485178716,1503.6216038671173,3027093
2021-07-20,1494.5528564453125,1524.907263324598,1486.7058541786487,1512.878244660536,1847026
2021-07-22,1543.2325439453125,1547.931361108793,1495.680537194334,1513.0191266406903,3231269
2021-07-23,1514.66357421875,1546.8034347927219,1510.0587108759469,1544.9709421533273,2259058
2021-07-26,1501.3662109375,1529.277256950026,1496.855414768696,1514.6638879929985,2219416
2021-07-27,1511.3746337890625,1521.4770913132238,1488.8203100141907,1513.1602073646845,3984778
2021-07-28,1515.1285400390625,1521.8764768886033,1475.972083019454,1513.465339044031,4119892
2021-07-29,1516.8392333984375,1527.6262561220367,1507.3352281766429,1514.9384323540785,1672177
2021-07-30,1522.0189208984375,1544.305883500638,1506.3848781903728,1518.740085393196,2536568
2021-08-02,1533.89892578125,1537.7480944263568,1522.5892520155137,1526.628454364903,1083353
2021-08-03,1553.287109375,1557.4213285475553,1530.430045849833,1544.4008874717624,1777140
2021-08-04,1542.690185546875,1562.7437307338848,1533.5663631199316,1558.6569618057983,2067087
2021-08-05,1546.681884765625,1551.8615213785906,1529.0044576645591,1539.6488974629642,1831728
2021-08-06,1530.4775390625,1557.7065386738177,1528.5292874978588,1546.3017318012821,1192143
2021-08-09,1518.217529296875,1543.4507139140064,1511.1370905931467,1539.6491111703758,1223794
2021-08-10,1509.6636962890625,1530.0498575480822,1494.0296537612596,1526.343272226834,1429931
2021-08-11,1504.769287109375,1518.6451123962663,1485.2385087530881,1511.32695830923,1370930
2021-08-12,1542.927734375,1546.3017027510166,1503.5336777824882,1511.1368822213376,1645811
2021-08-13,1585.6483154296875,1593.6317033263667,1544.4009079765895,1545.3513085353443,5439442
2021-08-16,1573.95849609375,1593.8694593564967,1571.3448943015476,1590.9706909624995,1794407
2021-08-17,1557.46875,1582.41676201373,1544.4483101362493,1575.7639588100685,1838525
2021-08-18,1551.861572265625,1578.7103887962264,1546.3967689009894,1565.309763748694,1570228
2021-08-20,1514.558349609375,1542.5001500217813,1511.136930705257,1538.6035308249889,2416059
2021-08-23,1502.345703125,1538.698524978254,1490.1330789865883,1520.7359309770366,1973841
2021-08-24,1526.1531982421875,1533.3286525438227,1504.293986327736,1511.1368236512021,1580003
2021-08-25,1514.74853515625,1545.3513883219048,1511.136966440239,1534.8494151991692,1795313
2021-08-26,1516.601806640625,1523.4446447762916,1506.3849998592452,1514.748571816795,2051262
